trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.99, 'e': 0.7898583497985436}",25,17,8.11141397716608,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.99, 'e': 0.788472644796994}",20,0,-25.758328781857543,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.99, 'e': 0.7870869397954443}",20,0,-41.21214575070891,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.99, 'e': 0.7857012347938946}",20,0,-8.75168125919944,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
134,False,"{'a': 0.99, 'e': 0.784315529792345}",25,0,-116.19369763413202,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 3}",0
135,False,"{'a': 0.99, 'e': 0.7829298247907953}",25,12,-22.610610484950882,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.99, 'e': 0.7815441197892457}",30,0,-138.48087186268899,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
137,False,"{'a': 0.99, 'e': 0.780158414787696}",25,0,-158.49010706208207,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
138,False,"{'a': 0.99, 'e': 0.7787727097861463}",20,0,-46.48697900764826,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
139,False,"{'a': 0.99, 'e': 0.7773870047845967}",30,11,-52.88920329340175,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
140,False,"{'a': 0.99, 'e': 0.776001299783047}",25,0,-50.18526262237171,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
141,False,"{'a': 0.99, 'e': 0.7746155947814973}",20,0,-141.0109908623034,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
142,False,"{'a': 0.99, 'e': 0.7732298897799477}",20,5,-60.53387438133028,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
143,False,"{'a': 0.99, 'e': 0.771844184778398}",25,0,-136.3065927289396,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
144,False,"{'a': 0.99, 'e': 0.7704584797768483}",25,14,-1.4951303356410168,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.99, 'e': 0.7690727747752987}",20,0,-75.67150631805929,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
146,False,"{'a': 0.99, 'e': 0.767687069773749}",25,0,-85.33177497406177,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
147,False,"{'a': 0.99, 'e': 0.7663013647721993}",35,0,-287.51410991175004,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 6}",0
148,False,"{'a': 0.99, 'e': 0.7649156597706497}",25,0,-100.43091055036383,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
149,False,"{'a': 0.99, 'e': 0.7635299547691}",30,0,-143.23825774324783,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
150,False,"{'a': 0.99, 'e': 0.7621442497675504}",30,0,-52.289673187845004,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
151,False,"{'a': 0.99, 'e': 0.7607585447660007}",25,0,-64.3048948791926,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
152,False,"{'a': 0.99, 'e': 0.759372839764451}",20,0,-189.9942360700318,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
153,False,"{'a': 0.99, 'e': 0.7579871347629014}",20,0,-128.65444326464893,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
154,False,"{'a': 0.99, 'e': 0.7566014297613517}",20,0,-42.735655360020424,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
155,False,"{'a': 0.99, 'e': 0.755215724759802}",20,10,-7.0238465127392224,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.99, 'e': 0.7538300197582524}",25,0,-158.09004763162574,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
157,False,"{'a': 0.99, 'e': 0.7524443147567027}",30,0,-125.5194907625933,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
158,False,"{'a': 0.99, 'e': 0.751058609755153}",25,0,-68.30528374526213,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
159,False,"{'a': 0.99, 'e': 0.7496729047536034}",25,0,-89.08154268593177,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
160,False,"{'a': 0.99, 'e': 0.7482871997520537}",20,8,-18.892133991002787,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.99, 'e': 0.746901494750504}",35,19,-47.04776165706157,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
162,False,"{'a': 0.99, 'e': 0.7455157897489544}",20,0,-85.83076739593653,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
163,False,"{'a': 0.99, 'e': 0.7441300847474047}",25,0,-146.57397068989408,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
164,False,"{'a': 0.99, 'e': 0.742744379745855}",35,3,-204.6999060838463,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 4}",1
165,False,"{'a': 0.99, 'e': 0.7413586747443054}",20,0,-44.60009815790731,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
166,False,"{'a': 0.99, 'e': 0.7399729697427557}",20,0,-33.898032922840564,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
167,False,"{'a': 0.99, 'e': 0.7385872647412061}",30,0,-126.5772691988594,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
168,False,"{'a': 0.99, 'e': 0.7372015597396564}",25,12,-95.62032787544824,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 2}",1
169,False,"{'a': 0.99, 'e': 0.7358158547381067}",25,0,-58.65386348006069,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
170,False,"{'a': 0.99, 'e': 0.7344301497365571}",20,0,-88.66824482085133,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
171,False,"{'a': 0.99, 'e': 0.7330444447350074}",20,0,-38.90997972425628,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
172,False,"{'a': 0.99, 'e': 0.7316587397334577}",30,0,-68.85835965867183,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
